cm,seconds
258.98,11.08
259.47,11.11
95.91,11.13
96.61,11.16
103.92,11.19
99.38,11.21
112.88,11.24
102.44,11.27
87.53,11.30
119.03,11.32
264.16,11.36
121.33,11.38
91.66,11.41
94.86,11.43
94.37,11.46
106.81,11.49
162.96,11.52
95.01,11.54
262.36,11.58
214.25,11.60
99.18,11.63
115.04,11.65
111.42,11.68
90.17,11.71
93.47,11.74
96.81,11.76
93.33,11.79
361.95,11.83
365.62,11.86
156.13,11.88
358.89,11.91
371,11.94
109.96,11.96
160.67,11.99
164.00,12.02
164.42,12.04
165.97,12.07
167.11,12.10
168.15,12.13
97.39,12.15
170.00,12.18
170.63,12.21
